,Player,Nation,Pos,Squad.2,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
49,Cédric Bakambu,cd COD,FW,Galatasaray,32,1991,0.4,1,7,3,42.9,16.58,7.11,0.14,0.33,0,0,0,0.5,0.5,0.08,0.5,0.5
50,Johan Bakayoko,be BEL,FW,PSV Eindhoven,20,2003,7.2,1,24,10,41.7,3.33,1.39,0.04,0.1,0,0,0,1.2,1.2,0.05,-0.2,-0.2
53,Michel-Ange Balikwisha,be BEL,"FW,MF",Antwerp,22,2001,4.3,1,3,2,66.7,0.7,0.47,0.33,0.5,0,0,0,0.7,0.7,0.23,0.3,0.3
55,Simon Banza,cd COD,FW,Braga,26,1996,3.8,0,14,1,7.1,3.7,0.26,0.0,0.0,0,0,0,1.1,1.1,0.08,-1.1,-1.1
56,Bradley Barcola,fr FRA,"FW,DF",Paris S-G,20,2002,5.3,1,16,6,37.5,3.03,1.14,0.06,0.17,0,0,0,2.3,2.3,0.15,-1.3,-1.3
58,Roony Bardghji,se SWE,"MF,FW",FC Copenhagen,17,2005,1.6,1,4,1,25.0,2.47,0.62,0.25,1.0,0,0,0,0.5,0.5,0.11,0.5,0.5
59,Nicolò Barella,it ITA,MF,Inter,26,1997,5.2,0,6,3,50.0,1.15,0.58,0.0,0.0,0,0,0,0.9,0.9,0.14,-0.9,-0.9
62,Ander Barrenetxea,es ESP,"FW,MF",Real Sociedad,21,2001,4.4,1,9,1,11.1,2.04,0.23,0.11,1.0,0,0,0,0.5,0.5,0.05,0.5,0.5
63,Pablo Barrios,es ESP,MF,Atlético Madrid,20,2003,2.9,1,4,2,50.0,1.37,0.69,0.25,0.5,0,0,0,0.3,0.3,0.08,0.7,0.7
68,Sheraldo Becker,sr SUR,FW,Union Berlin,28,1995,4.1,2,11,6,54.5,2.71,1.48,0.18,0.33,0,0,0,1.3,1.3,0.12,0.7,0.7
71,Kevin Behrens,de GER,FW,Union Berlin,32,1991,3.3,0,6,2,33.3,1.81,0.6,0.0,0.0,0,0,0,0.9,0.9,0.16,-0.9,-0.9
73,Jude Bellingham,eng ENG,"MF,FW",Real Madrid,20,2003,11.0,4,23,7,30.4,2.09,0.64,0.17,0.57,0,0,0,3.0,3.0,0.13,1.0,1.0
75,Loris Benito,ch SUI,DF,Young Boys,31,1992,4.5,0,1,1,100.0,0.22,0.22,0.0,0.0,0,0,0,0.3,0.3,0.27,-0.3,-0.3
76,Ramy Bensebaini,dz ALG,DF,Dortmund,28,1995,4.2,0,3,1,33.3,0.72,0.24,0.0,0.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1
